latitude,longitude,smf
52.32,-121.92,66.62
18.0,-65.0,62.71
39.23550963,-121.2836963,63.37
42.471116,-72.17263,53.23
38.99297339,-123.0674491,72.45
18.0,-65.0,66.01
39.05,-99.1,66.81
46.42,-83.37,61.94
39.05,-99.1,64.16
44.23,-122.22,63.0
35.9076,-79.0506,71.66
43.303333,-89.3325,63.7
42.0,-93.0,100.0
39.6475,-79.9369,78.22
39.23550963,-121.2836963,65.39
31.11,-95.15,66.38
42.550409,-72.180244,67.91
18.0,-65.0,62.42
39.0844,-86.4705,74.18
18.0,-65.0,65.51
38.9365,-106.9428,64.3
47.6684,-121.924,79.93
41.84072517,-88.230263,65.68
42.3261,-71.1493,71.16
23.14,113.34,74.35
8.5,76.7,34.4
39.74,-123.63,81.49
70.469927,-157.407467,70.97
70.998542,-156.521316,83.52
70.998467,-156.521424,78.55
38.543092,-121.874896,73.24
24.094878,121.034072,74.11
-35.10537036,139.27284046,85.28
67.15655998,-50.06389101,93.75
-25.025508,152.379908,79.12
59.273691,24.550779,60.0
58.58016,26.43521,63.21
58.30223,22.0958,62.37
57.694204,27.377655,74.78
59.376641,24.039891,64.62
-37.8136,144.9631,67.51
-37.8136,144.9631,68.41
-1.94187532,102.5807841,60.91
28.68,121.43,72.56
31.29,121.5,9.1
45.19,8.25,63.29
28.54111111,121.37083333,57.82
44.2566,-86.083683,19.78
50.88,-120.35,62.22
65.225,-19.71194444,52.51
-9.44475,147.34958,43.12
58.92812,23.86384,60.88
-41.0832,-71.5514,68.54
9.17,-79.75,24.35
9.14,-79.88,25.63
-21.708519,-47.582469,65.26
31.99,34.82,47.23
45.68,-72.0,67.43
39.53,-107.78,70.9
39.53,-107.78,71.26
39.23550963,-121.2836963,70.49
46.42,-83.37,59.15
39.7291,-123.6419,69.06
37.83,-122.29,97.13
39.5673,-123.4758,56.54
57.1863,-2.2145,65.94
39.6475,-79.9369,78.43
38.9206,-106.9489,77.37
38.9206,-106.9489,83.41
39.070856,-96.582821,61.36
45.54,-73.72,68.73
26.6591,-80.6279,79.33
42.5315,-72.1899,70.56
42.481016,-72.178343,70.21
30.68,91.1,86.65
37.816,119.111,78.65
23.14,113.34,74.41
45.683333,126.633333,80.92
29.64,-82.34,90.76
46.70875,10.38853,82.02
26.4984,107.421,70.75
8.5,76.7,32.33
39.74,-123.63,79.9
39.74,-123.63,78.78
39.74,-123.63,81.5
-37.908647,145.139591,75.28
1.42,103.7,73.29
37.3,116.65,78.35
38.886306,-120.647694,76.57
58.58855,23.57538,63.36
59.18587,23.83031,62.97
58.5312,23.1117,60.4
58.787946,23.532754,64.91
59.51083,24.81622,67.43
4.991,52.454,70.33
22.48,113.57,81.99
39.5673,-123.4758,62.64
-2.06353604,102.8007258,56.72
37.3,118.62,77.34
28.68,121.43,71.87
35.06,-93.56,65.72
45.36,132.32,78.16
43.0,-92.5,81.17
50.88,-120.35,64.19
49.08,-89.38,66.64
1.42,103.7,68.94
51.82,11.7,66.3
42.532967,-72.180244,60.2
51.62,-128.09,67.31
37.4971,-122.133,98.73
42.0,-93.0,99.13
43.073,-89.4011,90.51
57.1863,-2.2145,71.81
41.8725,-89.3578,77.77
38.99297339,-123.0674491,74.93
44.23,-122.22,59.62
42.550409,-72.180244,61.11
38.8926,-106.9111,65.58
44.37,83.33,79.82
44.38,83.33,69.51
41.840719,-88.22980687,66.24
23.14,113.34,77.25
39.74,-123.63,79.9
30.40555556,34.95055556,72.8
71.296,-156.554483,64.13
43.93333,-71.75,61.41
42.67255,-77.040283,60.89
67.904114,18.611643,80.06
78.89878498,12.068203,87.41
57.84444,27.20142,48.91
59.5836,25.6283,62.91
58.30027,22.5766,61.49
58.142284,25.921816,59.91
59.06406,24.67274,60.99
58.669963,23.699157,59.68
58.30027,22.5766,59.88
43.577,4.368,76.02
-33.917926,151.235347,79.81
38.42,108.96,93.34
44.2566,-86.083683,21.57
38.98,121.53,95.84
-9.44475,147.34958,44.05
-37.73217,145.24386,69.38
36.77778,12.00829,59.68
30.45015,78.14575,65.51
-25.351,131.041,82.14
-36.67146,142.28934,75.14
-25.351,131.0423,76.21
28.043948,-81.393638,77.1
29.686609,-81.983,66.83
39.0,116.0,78.6
46.42,-83.37,60.12
18.0,-65.0,67.96
38.99297339,-123.0674491,76.01
38.88,-120.64,68.41
38.99297339,-123.0674491,72.97
38.88,-120.64,72.8
35.913,-79.056,65.05
49.0448,13.618,68.93
39.0042816,-77.1012173,66.62
45.54,-73.72,68.05
39.7181,-123.6527,77.54
18.0,-65.0,69.67
44.23,-122.22,60.19
40.81667,-104.76667,67.78
39.6475,-79.9369,76.47
42.5315,-72.1899,71.03
40.4449,-87.0297,70.96
28.15,116.55,17.97
44.38,83.33,68.84
21.9878,-101.2767,75.34
42.3261,-71.1493,63.03
44.18,86.02,76.52
40.23,117.23,76.85
23.14,113.34,78.23
46.70875,10.38859,78.92
1.42,103.7,68.2
37.3,116.65,77.87
38.544366,-121.876549,77.78
-30.4704,137.1363,80.24
-30.4704,137.1363,81.68
-34.233,138.309,69.95
38.973,-123.1164,61.69
43.93333,-71.75,66.55
43.93333,-71.75,63.95
72.369,126.475,77.87
67.15650902,-50.06398397,94.63
-25.025508,152.379908,73.08
-25.025508,152.379908,74.98
36.92195,-2.51109,75.32
58.07906,26.00937,62.39
58.0374,26.5666,62.43
35.38,100.38,98.49
-2.17502776,103.3327222,63.25
-2.18755552,103.3426111,59.98
39.7393,-123.6309,78.93
39.5673,-123.4758,70.85
53.93,-116.58,80.43
28.68,121.43,81.69
46.74472,131.69722,74.96
50.88,-120.35,62.01
3.303333333,101.62025,36.19
3.216666667,101.83975,38.47
58.28253,22.46296,62.78
45.41,-73.25,67.75
38.535556,-121.772778,13.37
28.071776,-81.42062,70.02
47.118581,-99.239944,72.37
51.82,11.7,66.82
51.82,11.7,66.42
-76.4373,161.007,75.31
42.550409,-72.180244,59.74
38.88,-120.64,72.32
9.1086,-79.8436,64.36
39.7291,-123.6419,66.26
38.7864,-120.429,80.39
41.8854,-89.3208,71.3
40.4449,-87.0297,74.77
42.0127,-93.7445,74.21
41.8784,-89.3541,71.99
43.312222,-89.370833,57.55
41.9035,-89.3341,69.33
44.23,-122.22,60.69
39.23550963,-121.2836963,71.26
38.9206,-106.9489,80.27
46.0356,-122.86,75.2
38.9362,-106.9425,56.82
31.33,120.42,13.22
41.840725,-88.23026287,68.1
31.41,121.67,77.64
23.14,113.34,77.38
46.70875,10.38856,91.66
71.298317,-156.5389,69.11
71.189085,-156.572434,78.36
-30.4704,137.1363,81.75
38.973,-123.1164,77.42
38.886306,-120.647694,74.58
58.47449,22.8236,64.39
58.15685,22.5004,65.76
58.07906,26.00937,62.55
21.5416,-158.0875,78.84
51.5,6.28,54.71
-22.2631,-69.7243,43.18
21.5416,-158.0875,77.91
45.41,126.45,73.04
35.06,-93.56,62.3
43.0,-92.5,70.17
44.219467,-85.668583,38.4
46.03,15.04,65.35
50.88,-120.35,61.71
38.88,-120.64,71.21
58.47449,22.8236,60.76
-5.9305,145.0335833,53.66
9.33,-79.78,21.7
-21.708519,-47.582469,68.0
49.08,-89.38,68.06
42.532967,-72.209488,55.67
38.88,-120.64,71.59
31.11,-95.15,67.49
46.42,-83.37,65.77
44.20517707,-122.1284473,67.36
38.9228,-106.9541,61.42
37.83,-122.29,95.13
38.083,-81.98,69.73
38.8825,-106.9105,52.04
42.0,-93.0,98.74
39.7291,-123.6419,71.15
40.4449,-87.0297,66.8
43.073,-89.4011,96.96
57.1863,-2.2145,76.21
38.9206,-106.9489,82.48
39.0042816,-77.1012173,63.8
38.9355,-106.9424,60.62
9.1086,-79.8436,65.66
9.1086,-79.8436,59.16
37.83,-122.29,99.78
44.23,-122.22,64.12
39.0042816,-77.1012173,61.89
42.532967,-72.209488,69.83
44.39,83.33,88.44
44.18,86.02,74.31
45.683333,126.633333,80.05
23.14,113.34,75.4
46.70875,10.38858,81.04
26.4984,107.42,84.54
39.74,-123.63,79.7
30.405,34.94916667,74.75
39.96,116.44,77.47
-38.25978792,174.90291541,73.19
-38.2609532,175.96048444,68.6
39.96,116.37,77.25
38.540587,-121.871302,45.46
-25.025508,152.379908,74.25
44.677,-90.177,34.34
58.4461,26.7493,59.77
59.49325,25.36253,71.9
58.33669,26.55972,56.61
58.97949,25.59474,62.37
58.31881,25.51712,59.43
39.5673,-123.4758,59.55
28.68,121.43,85.72
30.67,-87.95,79.67
37.3,96.86,78.53
44.2642,-86.1779,15.93
44.2642,-86.1779,22.73
50.88,-120.35,63.59
49.08,-89.38,65.98
-9.41755,147.37845,61.51
66.174167,25.156667,62.32
-17.01765,145.58442,62.0
-6.193333333,145.3425,48.75
39.09,-96.57,67.51
42.4586,-72.23196,68.7
28.04411,-81.39361,76.94
42.42443,-72.25822,72.88
51.82,11.7,72.56
51.82,11.7,68.71
45.68,-72.0,73.01
38.9825,-107.0101,63.28
38.99297339,-123.0674491,69.9
38.883,-106.9108,42.54
38.9354,-106.9424,64.99
37.4973,-122.1295,48.23
38.083,-81.98,70.68
39.5673,-123.4758,66.67
35.913,-79.056,64.79
37.83,-122.29,97.11
44.23,-122.22,58.95
31.25333333,34.75277778,67.04
68.623527,-149.584645,76.34
38.541763,-121.875162,78.45
24.087978,121.028934,73.8
-35.10536135,139.27284065,67.76
43.93333,-71.75,60.75
44.677,-90.177,43.9
58.047907,25.388749,63.15
59.18189,25.22027,62.86
58.959347,24.300177,61.58
57.62597,26.95557,65.05
57.87791,27.68945,66.54
39.7292,-123.6419,72.27
21.5416,-158.0875,82.23
33.62,102.87,70.51
47.5078,-93.4524,70.11
44.3101,-85.896583,21.71
44.320483,-85.977083,17.46
47.3,8.01,59.12
46.42,-83.37,65.37
-0.3466,-72.059,62.08
-9.42183,147.36922,65.37
-33.18,117.0478,72.86
1.42,103.7,68.5
9.33,-79.95,17.81
9.17,-79.74,23.24
9.12,-79.68,27.19
28.073,-81.42841,75.93
40.460659,-103.033324,74.71
29.67932,-81.94647,74.13
51.82,11.7,65.85
45.68,-72.0,72.66
39.534762,-107.782602,73.29
42.550409,-72.180244,63.27
37.83,-122.29,93.15
39.5673,-123.4758,74.76
9.1086,-79.8436,64.81
44.23,-122.22,65.92
35.913,-79.056,64.51
45.54,-73.72,73.02
39.534762,-107.782602,75.68
34.0136,-118.4673,79.97
37.83,-122.29,85.06
31.11,-95.15,68.09
39.0844,-86.4705,75.07
33.8834,-83.4195,80.06
26.6541,-80.6298,78.64
38.9203,-106.9486,58.97
39.53,-107.78,74.79
38.9137,-106.8949,61.98
28.15,116.55,31.93
23.14,113.34,77.21
23.14,113.34,77.43
71.189196,-156.572292,87.29
71.297883,-156.540983,83.5
70.068389,-156.105889,84.97
38.886306,-120.647694,78.89
59.30541,26.137067,63.52
58.35081,25.55063,64.76
58.526177,26.713798,64.05
58.39058,26.88647,60.24
57.70159,26.23994,59.91
58.13673,25.54067,62.42
51.5,6.28,50.68
-24.0883,-69.9946,37.7
-1.90988889,103.2662167,54.68
-66.369467,110.585574,84.94
38.6,-90.2,60.0
-12.37,130.867,64.27
44.346733,-85.481817,23.31
31.11,-95.15,72.82
31.11,-95.15,67.7
46.42,-83.37,67.77
-7.30579,147.1175,44.3
9.21,-79.6,28.98
29.684073,-81.959108,71.32
32.95784,-87.43257,65.07
31.194318,-84.477078,68.98
31.99,34.82,72.6
51.82,11.7,68.69
38.8826,-106.9101,61.44
31.11,-95.15,67.61
39.23550963,-121.2836963,69.18
26.6541,-80.6298,79.83
40.0633,-88.2058,78.95
36.0,-78.0,82.1
38.99297339,-123.0674491,73.14
38.8924,-106.9111,68.0
37.83,-122.29,90.96
37.4958,-122.1331,74.21
31.11,-95.15,71.35
42.0,-93.0,90.66
44.23,-122.22,62.87
41.8854,-89.3208,75.18
26.6591,-80.6279,80.88
38.9206,-106.9489,80.27
38.8927,-106.9112,46.38
43.312222,-89.370833,67.57
37.4969,-122.1331,55.14
39.0042816,-77.1012173,67.16
39.53,-96.582821,63.95
39.7291,-123.6419,72.34
39.070856,-96.582821,63.97
43.303333,-89.3325,68.31
38.9355,-106.9424,59.09
68.6137,-149.3144,68.42
35.9076,-79.0506,70.1
42.481016,-72.178343,67.58
38.9866,-107.0007,54.24
70.068389,-156.105889,88.06
67.903495,18.607988,81.96
58.131513,26.180962,65.23
43.0,-92.5,51.77
39.5673,-123.4758,64.7
39.7393,-123.6309,78.14
47.59,7.58,37.49
28.68,121.43,83.12
45.19,8.25,66.65
45.19,8.25,69.62
44.271933,-85.992533,38.4
50.88,-120.35,59.42
38.88,-120.64,74.38
43.2099,132.05064,53.41
42.03121,128.43149,70.41
-5.9305,145.0335833,54.81
45.41,-73.25,73.55
9.06,-79.64,20.64
52.32,-121.92,66.79
39.23550963,-121.2836963,69.62
18.0,-65.0,62.98
42.481016,-72.178343,68.18
44.23,-122.22,61.84
44.23,-122.22,61.76
42.550409,-72.180244,72.33
38.9206,-106.9489,79.27
42.0127,-93.7445,76.19
26.6591,-80.6279,79.59
45.9233,-120.701,79.35
39.0844,-86.4705,76.77
31.11,-95.15,67.2
38.8925,-106.9111,66.07
39.0844,-86.4705,74.38
57.1866,-2.2146,82.75
41.84071917,-88.22980712,66.75
23.14,113.34,76.0
26.4984,107.422,74.3
1.42,103.7,66.58
-38.57,-71.78,67.03
39.96,116.35,76.73
70.469927,-157.407467,79.62
-34.255,138.318,64.85
67.903495,18.607988,85.43
57.62597,26.95557,63.09
58.11988,25.54804,63.45
59.54978,24.80877,64.9
59.229154,24.011939,62.93
21.5416,-158.0875,74.81
51.5,6.28,51.21
-9.43501,147.37553,50.62
-35.11641,141.97633,77.91
9.19,-79.82,21.46
34.1843333333333,118.191166666667,72.42
28.043948,-81.393638,76.22
-76.0965,162.01,74.69
52.32,-121.92,64.56
42.532967,-72.209488,72.09
38.8708,-122.4274,68.43
38.88,-120.64,66.41
18.0,-65.0,60.89
35.913,-79.056,62.38
33.8834,-83.4195,66.14
40.4449,-87.0297,65.97
40.4449,-87.0297,67.06
39.7181,-123.6527,70.61
44.23,-122.22,62.48
9.1086,-79.8436,63.55
38.7966,-120.3833,82.49
39.7181,-123.6527,76.43
46.6253,-120.532,80.96
38.8826,-106.9101,50.43
41.84071908,-88.22980712,65.61
53.71653765,9.76824442,76.16
32.889,130.766,81.68
32.479787,119.136439,64.97
71.251669,-156.542107,80.53
68.623331,-149.584554,78.87
38.544366,-121.876549,32.85
38.543092,-121.874896,7.36
-30.4704,137.1363,81.87
63.88306,-149.22556,49.79
42.67255,-77.040283,61.2
72.369,126.475,79.01
38.886306,-120.647694,73.91
44.677,-90.177,34.13
58.8037,23.00227,69.99
-37.8136,144.9631,54.1
35.38,100.38,78.53
-2.0960072,102.7832653,57.12
46.53,125.19,86.49
44.2225,-85.753483,31.64
44.194817,-86.091533,27.57
53.4,16.3,67.49
-20.01863,29.47745,71.6
37.86361,14.04111,65.73
-25.3504,131.0516,75.66
9.35,-79.87,26.21
40.465241,-103.032116,84.41
52.32,-121.92,66.06
39.458,-79.073,68.52
37.4968,-122.1333,90.1
45.54,-73.72,70.82
37.4969,-122.1331,85.13
44.23,-122.22,64.69
39.6475,-79.9369,78.18
38.9206,-106.9489,80.39
39.0042816,-77.1012173,63.87
57.1866,-2.2146,80.45
39.070856,-96.582821,64.57
38.9206,-106.9489,82.25
39.5673,-123.4758,57.49
18.0,-65.0,66.62
18.0,-65.0,68.99
42.481016,-72.178343,71.61
28.15,116.55,15.83
44.18,86.02,75.55
-38.56430033,176.31705355,77.19
39.96,116.45,79.15
37.3,116.65,76.77
38.543092,-121.874896,72.93
38.545011,-121.876575,58.27
-30.4704,137.1363,82.03
38.973,-123.1164,76.18
43.93333,-71.75,65.03
42.67255,-77.040283,68.72
38.886306,-120.647694,75.0
44.677,-90.177,38.74
44.677,-90.177,28.34
44.677,-90.177,41.7
44.677,-90.177,35.07
57.288,22.721,63.2
58.73243,26.52714,62.43
58.4461,26.7493,60.66
58.74809,26.49781,60.0
-37.8136,144.9631,66.8
39.7292,-123.6419,74.38
39.7279,-123.6444,66.85
-1.8578889,103.3076111,60.97
23.05222,101.03506,74.53
19.95,110.58,74.32
47.5079,-93.4529,67.29
44.192783,-85.677217,19.96
38.98,121.53,91.94
38.98,121.53,99.26
68.38,-149.43,64.27
68.38,-149.43,67.36
46.42,-83.37,62.73
31.11,-95.15,65.39
31.11,-95.15,68.71
-9.41755,147.37845,58.47
37.90722,14.65722,65.77
38.535556,-121.772778,35.48
34.1843333333333,118.191166666667,71.81
38.883305,-78.120382,67.22
-76.3928,161.056,77.9
45.68,-72.0,66.76
18.0,-65.0,65.77
18.0,-65.0,61.87
42.471116,-72.209488,55.47
37.83,-122.29,93.25
38.9223,-106.9536,61.75
38.9765,-107.0043,60.34
38.88,-120.64,65.8
39.5673,-123.4758,58.23
43.312222,-89.370833,68.74
18.0,-65.0,66.56
44.23,-122.22,64.34
38.99297339,-123.0674491,77.85
44.4668,-109.6253,81.21
39.23550963,-121.2836963,66.68
41.84072517,-88.23026287,67.84
37.3,118.62,67.47
30.88,121.58,68.29
35.735,139.539,79.78
32.479787,119.136439,63.09
64.54,-51.12,75.18
-38.83,-71.65,69.22
39.96,116.46,77.71
39.96,116.38,77.33
37.3,116.65,78.61
71.189085,-156.572434,73.64
38.544366,-121.876549,77.4
38.544363,-121.876379,68.97
34.98167,-97.52056,63.21
44.677,-90.177,35.16
36.92195,-2.51109,81.12
58.47737,25.4637,65.41
59.3969,24.7292,67.57
58.13673,25.54067,65.78
58.458611,26.719139,64.41
58.71806,22.51694,59.89
58.156667,26.282222,62.9
-37.8136,144.9631,73.53
28.68,121.43,73.27
34.09,-118.43,78.19
38.42,108.96,89.83
48.26,134.66,63.13
33.62,102.87,70.87
44.346883,-85.484083,33.29
44.219467,-85.668583,31.59
68.38,-149.43,73.08
18.32096,-65.81974,53.79
-25.3504,131.0516,74.72
38.535556,-121.772778,36.13
9.08,-79.66,25.15
42.42723,-72.2299,72.92
42.42427,-72.258289,69.98
-21.708519,-47.582469,62.79
49.08,-89.38,61.49
38.88,-120.64,69.1
18.0,-65.0,67.21
44.23,-122.22,62.87
37.83,-122.29,98.33
42.481016,-72.178343,67.86
37.4965,-122.133,84.51
38.9137,-106.8949,41.54
51.62,-128.09,69.4
42.471116,-72.17263,69.47
40.4449,-87.0297,65.73
40.4449,-87.0297,66.06
38.9206,-106.9489,81.19
39.0042816,-77.1012173,66.55
38.9225,-106.9538,53.62
39.7291,-123.6419,63.65
49.08,-89.38,57.83
39.7291,-123.6419,62.81
48.4473,-122.323,84.19
41.84072508,-88.230263,66.7
23.14,113.34,75.49
38.249,140.244,75.22
-37.446379,144.470078,65.24
1.42,103.7,72.28
70.068559,-156.105719,69.45
68.623527,-149.584645,73.14
70.998542,-156.521316,76.16
42.67255,-77.040283,67.99
67.904568,18.607115,86.53
44.677,-90.177,42.7
44.677,-90.177,37.72
59.18189,25.22027,61.37
58.669963,23.699157,63.43
58.2778,26.9858,59.25
59.42275,24.6661,61.78
57.58569,26.64614,63.96
4.991,52.454,67.84
31.21,120.4,77.02
27.7,100.86,75.03
44.2566,-86.083683,20.61
47.3,8.01,61.97
65.225,-19.71194444,64.54
-25.351,131.041,75.24
38.535556,-121.772778,11.34
1.42,103.7,83.77
9.55,-79.6,19.32
34.1843333333333,118.191166666667,71.64
51.82,11.7,67.31
39.5673,-123.4758,69.07
18.0,-65.0,60.63
38.88,-120.64,69.52
18.0,-65.0,65.5
44.23,-122.22,65.08
38.9206,-106.9489,81.51
35.9076,-79.0506,72.49
44.23,-122.22,62.07
39.6475,-79.9369,78.73
51.62,-128.09,72.03
39.7181,-123.6527,76.67
18.0,-65.0,67.95
37.4968,-122.1333,85.91
44.18,86.02,76.39
52.6322959,1.1841943,83.11
21.50715,109.76373055,67.63
46.49,9.93,81.88
32.479787,119.136439,69.45
39.74,-123.63,78.71
39.74,-123.63,80.98
-23.977765,133.712524,65.25
1.42,103.7,67.4
37.3,116.65,79.8
71.189085,-156.572434,78.9
38.541763,-121.875162,36.06
38.545045,-121.875957,61.04
24.026494,121.136434,76.3
78.90129578,12.06726372,82.74
59.470133,25.279213,63.24
59.17464,27.79904,60.71
58.17839,26.86382,62.78
58.33669,26.55972,57.3
59.00725,24.570198,60.57
59.47063,25.298297,61.78
59.255354,24.144833,65.09
58.28634,26.54899,63.02
58.58016,26.43521,61.85
-37.8136,144.9631,76.74
39.5673,-123.4758,55.17
45.41,126.45,72.71
45.19,8.25,64.16
43.62,116.71,77.84
30.04,104.03,78.42
49.32,117.67,85.67
44.3101,-85.896583,26.29
68.38,-149.43,61.91
31.11,-95.15,71.07
31.11,-95.15,68.03
43.27805,133.15603,60.91
-5.9305,145.0335833,54.32
-7.30579,147.1175,45.14
45.41,-73.25,74.34
9.14,-79.88,23.17
9.09,-79.65,15.89
8.94,-79.6,20.84
34.1843333333333,118.191166666667,71.99
28.052638,-81.393374,74.9
38.889095,-78.168896,69.17
-21.708519,-47.582469,60.45
-21.708519,-47.582469,69.01
45.68,-72.0,70.82
18.0,-65.0,66.13
37.4961,-122.1331,71.89
38.9228,-106.9541,56.87
57.1866,-2.2146,86.05
38.9365,-106.9428,58.91
45.54,-73.72,69.06
38.9827,-107.0102,50.11
18.0,-65.0,62.97
38.9354,-106.9424,59.99
37.83,-122.29,98.34
39.05,-99.1,65.59
40.4449,-87.0297,65.58
38.9206,-106.9489,82.74
18.0,-65.0,62.62
38.88,-120.64,66.42
38.9738,-120.4934,88.58
31.33,120.42,18.74
44.37,83.33,90.17
23.14,113.34,79.08
51.55,14.22,7.48
32.889,130.766,76.59
39.74,-123.63,80.12
71.26,-52.6,63.75
-38.22184031,175.97088911,74.05
70.998467,-156.521424,81.27
71.251608,-156.542146,74.76
-35.105875,139.274772,88.74
42.67255,-77.040283,67.93
58.0405,27.0525,64.51
59.376641,24.039891,66.12
-37.8136,144.9631,75.21
51.5,6.28,52.34
-33.917926,151.235347,70.23
